codigo,fuente_fin_Dep,inicial,vigente,compromiso,obligacion,pago6
2018011000706,---Guajira,64.143.646,20.599.780,20.599.780,0,0
2018011000706,---Magdalena,64.143.646,13.766.520,13.766.520,0,0
2018011000706,---Meta,64.143.646,13.726.520,13.726.520,0,0
2018011000706,---Nariño,64.143.646,27.493.040,27.493.040,0,0
2018011000706,---N. Santander,64.143.646,13.746.520,13.746.520,0,0
2018011000706,---Quindio,64.143.646,13.696.520,13.696.520,0,0
2018011000706,---Risaralda,64.143.646,13.696.520,13.696.520,0,0
2018011000706,---Santander,64.143.646,34.441.300,34.441.300,0,0
2018011000706,---Sucre,64.143.646,20.539.780,20.539.780,0,0
2018011000706,---Tolima,64.143.646,45.328.228,45.328.228,0,0
2018011000706,---Valle,64.143.646,45.328.228,45.328.228,0,0
2018011000706,---Arauca,64.143.646,39.056.422,39.056.422,0,0
2018011000706,---Casanare,64.143.646,39.056.422,39.056.422,0,0
2018011000706,---Putumayo,64.143.646,39.056.422,39.056.422,0,0
2018011000706,---San Andres,64.143.646,32.065.389,32.065.389,0,0
2018011000706,---Amazonas,64.143.646,39.056.422,39.056.422,0,0
2018011000706,---Guainia,64.143.646,39.056.422,39.056.422,0,0
2018011000706,---Guaviare,64.143.646,39.056.422,39.056.422,0,0
2018011000706,---Vaupes,64.143.646,39.056.422,39.052.971,0,0
2018011000706,---Vichada,64.143.646,39.056.422,39.056.422,0,0
2018011000718,Recursos Propios,3.714.179.073,3.714.179.073,3.713.400.400,2.767.773.179,2.313.567.751
2018011000718,---Antioquia,324.439.123,324.439.123,324.439.123,293.244.800,204.359.055
2018011000718,---Atlantico,59.696.799,59.696.799,59.696.799,42.997.007,37.602.066
2018011000718,---Bogota,804.609.023,804.609.023,803.830.350,495.943.601,495.943.601
2018011000718,---Bolivar,119.393.598,119.393.598,119.393.598,75.204.133,75.204.133
2018011000718,---Boyaca,319.248.097,319.248.097,319.248.097,227.419.739,201.089.310
2018011000718,---Caldas,70.078.851,70.078.851,70.078.851,57.214.058,44.141.556
2018011000718,---Caqueta,41.528.208,41.528.208,41.528.208,26.157.959,26.157.959
2018011000718,---Cauca,109.011.545,109.011.545,109.011.545,80.897.768,68.664.642
2018011000718,---Cesar,64.887.825,64.887.825,64.887.825,64.887.825,40.871.811
2018011000718,---Cordoba,77.865.389,77.865.389,77.865.389,77.865.389,49.046.173
2018011000718,---Cundinamarca,301.079.506,301.079.506,301.079.506,189.645.203,189.645.203
2018011000718,---Choco,77.865.389,77.865.389,77.865.389,53.155.520,49.046.173
2018011000718,---Huila,96.033.981,96.033.981,96.033.981,70.828.624,60.490.281
2018011000718,---Guajira,38.932.694,38.932.694,38.932.694,12.700.966,12.700.966
2018011000718,---Magdalena,77.865.388,77.865.388,77.865.388,77.865.388,49.046.172
2018011000718,---Meta,75.269.876,75.269.876,75.269.876,47.411.300,47.411.300
2018011000718,---Nariño,166.112.830,166.112.830,166.112.830,166.112.830,104.631.836
2018011000718,---N. Santander,103.820.519,103.820.519,103.820.519,65.394.897,65.394.897
2018011000718,---Quindio,31.146.156,31.146.156,31.146.156,19.618.469,19.618.469
2018011000718,---Risaralda,36.337.181,36.337.181,36.337.181,36.337.181,22.888.214
2018011000718,---Santander,225.809.629,225.809.629,225.809.629,225.809.629,142.233.902
2018011000718,---Sucre,67.483.337,67.483.337,67.483.337,42.506.683,42.506.683
2018011000718,---Tolima,121.989.110,121.989.110,121.989.110,121.989.110,76.839.005
2018011000718,---Valle,109.011.545,109.011.545,109.011.545,109.011.545,100.480.789
2018011000718,---Arauca,18.168.591,18.168.591,18.168.591,18.168.591,18.168.591
2018011000718,---Casanare,49.314.746,49.314.746,49.314.746,0,0
2018011000718,---Putumayo,33.741.669,33.741.669,33.741.669,33.741.669,33.741.669
2018011000718,---San Andres,5.191.026,5.191.026,5.191.026,5.191.026,5.191.026
2018011000718,---Amazonas,28.550.643,28.550.643,28.550.643,0,0
2018011000718,---Guainia,23.359.617,23.359.617,23.359.617,0,0
2018011000718,---Guaviare,10.382.052,10.382.052,10.382.052,4.497.139,4.497.139
2018011000718,---Vaupes,15.573.078,15.573.078,15.573.078,15.573.078,15.573.078
2018011000718,---Vichada,10.382.052,10.382.052,10.382.052,10.382.052,10.382.052
2018011000719,Recursos Propios,26.675.157.111,26.675.157.111,26.651.763.739,23.259.612.568,22.700.856.952
2018011000719,---Antioquia,2.330.115.052,2.330.115.052,2.328.071.606,2.031.762.104,1.982.953.962
2018011000719,---Atlantico,428.741.170,428.741.170,428.365.176,373.844.228,364.863.529
2018011000719,---Bogota,5.778.685.327,5.778.685.327,5.773.617.579,5.038.770.012,4.917.453.089
2018011000719,---Bolivar,857.482.338,857.482.338,856.730.350,747.688.453,729.727.057
2018011000719,---Boyaca,2.292.833.211,2.292.833.211,2.290.822.460,1.999.253.911,1.951.226.698
2018011000719,---Caldas,503.304.851,503.304.851,502.863.467,438.860.614,428.318.056
2018011000719,---Caqueta,298.254.726,298.254.726,297.993.165,260.065.549,253.818.107
2018011000719,---Cauca,782.918.657,782.918.657,782.232.059,682.672.067,666.272.531
2018011000719,---Cesar,466.023.011,466.023.011,465.614.322,406.352.421,396.590.793
2018011000719,---Cordoba,559.227.613,559.227.613,558.737.186,487.622.906,475.908.951
